Model,Name,Read,Write,Create,Delete,Access_Level
account.journal.group,Account Journal Group,Yes,No,No,No,READ-ONLY
account.journal.report.handler,Journal Report Custom Handler,Yes,No,No,No,READ-ONLY
account.move,Journal Entry,Yes,No,No,No,READ-ONLY
account.move.approval,Bill approval lines,Yes,Yes,Yes,Yes,FULL (RWCD)
account.move.line,Journal Item,Yes,No,No,No,READ-ONLY
account.move.stage,Bill Approval Stages,Yes,Yes,Yes,Yes,FULL (RWCD)
account.multicurrency.revaluation.report.handler,Multicurrency Revaluation Report Custom Handler,Yes,No,No,No,READ-ONLY
account.online.account,representation of an online bank account,Yes,No,No,No,READ-ONLY
account.online.link,Bank Connection,Yes,No,No,No,READ-ONLY
account.partial.reconcile,Partial Reconcile,Yes,No,No,No,READ-ONLY
account.partner.ledger.report.handler,Partner Ledger Custom Handler,Yes,No,No,No,READ-ONLY
account.payment,Payments,Yes,No,No,No,READ-ONLY
account.payment.method,Payment Methods,Yes,No,No,No,READ-ONLY
account.payment.method.line,Payment Methods,Yes,No,No,No,READ-ONLY
account.payment.term,Payment Terms,Yes,No,No,No,READ-ONLY
account.payment.term.line,Payment Terms Line,Yes,No,No,No,READ-ONLY
account.reconcile.model,Preset to create journal entries during a invoices and payments matching,Yes,No,No,No,READ-ONLY
account.reconcile.model.line,Rules for the reconciliation model,Yes,No,No,No,READ-ONLY
account.reconcile.model.partner.mapping,Partner mapping for reconciliation models,Yes,No,No,No,READ-ONLY
account.report,Accounting Report,Yes,No,No,No,READ-ONLY
account.report.column,Accounting Report Column,Yes,No,No,No,READ-ONLY
account.report.custom.handler,Account Report Custom Handler,Yes,No,No,No,READ-ONLY
account.report.expression,Accounting Report Expression,Yes,No,No,No,READ-ONLY
account.report.external.value,Accounting Report External Value,Yes,No,No,No,READ-ONLY
account.report.footnote,Account Report Footnote,Yes,No,No,No,READ-ONLY
account.report.horizontal.group,Horizontal group for reports,Yes,No,No,No,READ-ONLY
